Plate,Well,Plant.ID,Species,Plucked.By,Nodule.ID,Note
Plate_1,A1,AM1441T,mac,MF,AM7001,
Plate_1,A2,AM1441T,mac,MF,AM7002,
Plate_1,A3,AM1441T,mac,MF,AM7003,
Plate_1,A4,AM1441T,mac,MF,AM7004,
Plate_1,A5,AM1441T,mac,MF,AM7005,
Plate_1,A6,AM1441T,mac,MF,AM7006,
Plate_1,A7,AM1869T,fuc,EM,AM7007,
Plate_1,A8,AM1869T,fuc,EM,AM7008,
Plate_1,A9,AM1869T,fuc,EM,AM7009,
Plate_1,A10,AM1869T,fuc,EM,AM7010,
Plate_1,A11,AM1869T,fuc,EM,AM7011,
Plate_1,A12,AM1869T,fuc,EM,AM7012,
Plate_1,B1,AM1993T,bar,EM,AM7013,
Plate_1,B2,AM1993T,bar,EM,AM7014,
Plate_1,B3,AM1993T,bar,EM,AM7015,
Plate_1,B4,AM1993T,bar,EM,AM7016,
Plate_1,B5,AM1993T,bar,EM,AM7017,
Plate_1,B6,AM1993T,bar,EM,AM7018,
Plate_1,B7,AM1075T,mdn,EM,AM7019,
Plate_1,B8,AM1075T,mdn,EM,AM7020,
Plate_1,B9,AM1075T,mdn,EM,AM7021,
Plate_1,B10,AM1075T,mdn,EM,AM7022,
Plate_1,B11,AM1075T,mdn,EM,AM7023,
Plate_1,B12,AM1075T,mdn,EM,AM7024,
Plate_1,C1,AM1921T,mac,EM,AM7025,
Plate_1,C2,AM1921T,mac,EM,AM7026,
Plate_1,C3,AM1921T,mac,EM,AM7027,
Plate_1,C4,AM1921T,mac,EM,AM7028,
Plate_1,C5,AM1921T,mac,EM,AM7029,
Plate_1,C6,AM1921T,mac,EM,AM7030,
Plate_1,C7,AM1389T,fuc,EM,AM7031,
Plate_1,C8,AM1389T,fuc,EM,AM7032,
Plate_1,C9,AM1389T,fuc,EM,AM7033,
Plate_1,C10,AM1389T,fuc,EM,AM7034,
Plate_1,C11,AM1389T,fuc,EM,AM7035,
Plate_1,C12,AM1389T,fuc,EM,AM7036,
Plate_1,D1,AM1913T,bar,EM,AM7037,
Plate_1,D2,AM1913T,bar,EM,AM7038,
Plate_1,D3,AM1913T,bar,EM,AM7039,
Plate_1,D4,AM1913T,bar,EM,AM7040,
Plate_1,D5,AM1913T,bar,EM,AM7041,
Plate_1,D6,AM1913T,bar,EM,AM7042,
Plate_1,D7,AM1939T,mdn,EM,AM7043,
Plate_1,D8,AM1939T,mdn,EM,AM7044,
Plate_1,D9,AM1939T,mdn,EM,AM7045,
Plate_1,D10,AM1939T,mdn,EM,AM7046,
Plate_1,D11,AM1939T,mdn,EM,AM7047,
Plate_1,D12,AM1939T,mdn,EM,AM7048,
Plate_1,E01,AM1969T,mac,EM,AM7049,
Plate_1,E02,AM1969T,mac,EM,AM7050,
Plate_1,E03,AM1969T,mac,EM,AM7051,
Plate_1,E04,AM1969T,mac,EM,AM7052,
Plate_1,E05,AM1969T,mac,EM,AM7053,
Plate_1,E06,AM1969T,mac,EM,AM7054,
Plate_1,E07,AM1021T,fuc,EM,AM7055,
Plate_1,E08,AM1021T,fuc,EM,AM7056,
Plate_1,E09,AM1021T,fuc,EM,AM7057,
Plate_1,E10,AM1021T,fuc,EM,AM7058,
Plate_1,E11,AM1021T,fuc,EM,AM7059,
Plate_1,E12,AM1021T,fuc,EM,AM7060,
Plate_1,F01,AM1385T,bar,EM,AM7061,
Plate_1,F02,AM1385T,bar,EM,AM7062,
Plate_1,F03,AM1385T,bar,EM,AM7063,
Plate_1,F04,AM1385T,bar,EM,AM7064,
Plate_1,F05,AM1385T,bar,EM,AM7065,
Plate_1,F06,AM1385T,bar,EM,AM7066,
Plate_1,F07,AM1907T,mdn,EM,AM7067,
Plate_1,F08,AM1907T,mdn,EM,AM7068,
Plate_1,F09,AM1907T,mdn,EM,AM7069,
Plate_1,F10,AM1907T,mdn,EM,AM7070,
Plate_1,F11,AM1907T,mdn,EM,AM7071,
Plate_1,F12,AM1907T,mdn,EM,AM7072,
Plate_1,G01,AM11017T,mac,EM,AM7073,
Plate_1,G02,AM11017T,mac,EM,AM7074,
Plate_1,G03,AM11017T,mac,EM,AM7075,
Plate_1,G04,AM11017T,mac,EM,AM7076,
Plate_1,G05,AM11017T,mac,EM,AM7077,
Plate_1,G06,AM11017T,mac,EM,AM7078,
Plate_1,G07,AM1181T,fuc,EM,AM7079,
Plate_1,G08,AM1181T,fuc,EM,AM7080,
Plate_1,G09,AM1181T,fuc,EM,AM7081,
Plate_1,G10,AM1181T,fuc,EM,AM7082,
Plate_1,G11,AM1181T,fuc,EM,AM7083,
Plate_1,G12,AM1181T,fuc,EM,AM7084,
Plate_1,H01,AM1242T,bar,EM,AM7085,
Plate_1,H02,AM1242T,bar,EM,AM7086,
Plate_1,H03,AM1242T,bar,EM,AM7087,
Plate_1,H04,AM1242T,bar,EM,AM7088,
Plate_1,H05,AM1242T,bar,EM,AM7089,
Plate_1,H06,AM1242T,bar,EM,AM7090,
Plate_1,H07,AM1987T,mdn,EM,AM7091,
Plate_1,H08,AM1987T,mdn,EM,AM7092,
Plate_1,H09,AM1987T,mdn,EM,AM7093,
Plate_1,H10,AM1987T,mdn,EM,AM7094,
Plate_1,H11,AM1987T,mdn,EM,AM7095,
Plate_1,H12,AM1987T,mdn,EM,AM7096,
Plate_2,A01,AM1073T,mac,EM,AM7097,
Plate_2,A02,AM1073T,mac,EM,AM7098,
Plate_2,A03,AM1073T,mac,EM,AM7099,
Plate_2,A04,AM1073T,mac,EM,AM7100,
Plate_2,A05,AM1073T,mac,EM,AM7101,
Plate_2,A06,AM1073T,mac,EM,AM7102,
Plate_2,A07,AM1005T,fuc,EM,AM7103,
Plate_2,A08,AM1005T,fuc,EM,AM7104,
Plate_2,A09,AM1005T,fuc,EM,AM7105,
Plate_2,A10,AM1005T,fuc,EM,AM7106,
Plate_2,A11,AM1005T,fuc,EM,AM7107,
Plate_2,A12,AM1005T,fuc,EM,AM7108,
Plate_2,B01,AM1097T,bar,EM,AM7109,
Plate_2,B02,AM1097T,bar,EM,AM7110,
Plate_2,B03,AM1097T,bar,EM,AM7111,
Plate_2,B04,AM1097T,bar,EM,AM7112,
Plate_2,B05,AM1097T,bar,EM,AM7113,
Plate_2,B06,AM1097T,bar,EM,AM7114,
Plate_2,B07,AM1155T,mdn,EM,AM7115,
Plate_2,B08,AM1155T,mdn,EM,AM7116,
Plate_2,B09,AM1155T,mdn,EM,AM7117,
Plate_2,B10,AM1155T,mdn,EM,AM7118,
Plate_2,B11,AM1155T,mdn,EM,AM7119,
Plate_2,B12,AM1155T,mdn,EM,AM7120,
Plate_2,C1,AM11001T,mac,EM,AM7121,
Plate_2,C2,AM11001T,mac,EM,AM7122,
Plate_2,C3,AM11001T,mac,EM,AM7123,
Plate_2,C4,AM11001T,mac,EM,AM7124,
Plate_2,C5,AM11001T,mac,EM,AM7125,
Plate_2,C6,AM11001T,mac,EM,AM7126,
Plate_2,C7,AM1229T,fuc,EM,AM7127,
Plate_2,C8,AM1229T,fuc,EM,AM7128,
Plate_2,C9,AM1229T,fuc,EM,AM7129,
Plate_2,C10,AM1229T,fuc,EM,AM7130,
Plate_2,C11,AM1229T,fuc,EM,AM7131,
Plate_2,C12,AM1229T,fuc,EM,AM7132,
Plate_2,D1,AM1897T,bar,EM,AM7133,
Plate_2,D2,AM1897T,bar,EM,AM7134,
Plate_2,D3,AM1897T,bar,EM,AM7135,
Plate_2,D4,AM1897T,bar,EM,AM7136,
Plate_2,D5,AM1897T,bar,EM,AM7137,
Plate_2,D6,AM1897T,bar,EM,AM7138,
Plate_2,D7,AM1107T,mdn,EM,AM7139,
Plate_2,D8,AM1107T,mdn,EM,AM7140,
Plate_2,D9,AM1107T,mdn,EM,AM7141,
Plate_2,D10,AM1107T,mdn,EM,AM7142,
Plate_2,D11,AM1107T,mdn,EM,AM7143,
